Card_Id(PC),CARD_OUTPUT_Name,C_Type,Element,Tier,Rare,Effect_Type,E_Coeffici,C_Coeffici,Calculation,Debuff_Type,Debuff_Stack,Buff_Type,Buff_Stack,Enhanceable,Enhance_Count,Target,Card_Description,CARD_INSIDE_NAME,,,,,카드 컨셉(주석용),(속성계수 * 카드계수 * 주사위)
0001,FAN1,Action,Fire,tier1,Opening,Damage,5,0.4,5 * 0.4 * N,None,0,None,0,Yes,2,Enemy,적에게 2~12의 피해를 줍니다. 강화 2,CARD_ACTION_FIRE_NOMAL_1,,,,,3단계 공격,
0002,FAN1+,Action,Fire,tier2,Opening,Damage,5,0.5,5 * 0.5 * N,None,0,None,0,No,None,Enemy,적에게 3~15의 피해를 줍니다.,CARD_ACTION_FIRE_NOMAL_2,,,,,,
0003,FAN2,Action,Fire,tier1,Opening,Damage,5,0.2,5 * 0.2 * N,Fire,1,None,0,Yes,2,Enemy,적에게 1~6의 피해를 줍니다. 점화 1. 강화 2,CARD_ACTION_FIRE_NOMAL_3,,,,,,
0004,FAN2+,Action,Fire,tier2,Opening,Damage,5,0.3,5 * 0.3 * N,Fire,2,None,0,No,None,Enemy,적에게 2~9의 피해를 줍니다. 점화 2.,CARD_ACTION_FIRE_NOMAL_4,,,,,1단계 공격 / 2단계 디버프,
0005,FAN3,Action,Fire,tier1,Opening,Damage,5,0.1,5 * 0.1 * N,Fire,2,None,0,Yes,2,Enemy,적에게 1~3의 피해를 줍니다. 점화 2. 강화 2,CARD_ACTION_FIRE_NOMAL_5,,,,,,
0006,FAN3+,Action,Fire,tier2,Opening,Damage,5,0.2,5 * 0.2 * N,Fire,3,None,0,No,None,Enemy,적에게 1~6의 피해를 줍니다. 점화 3.,CARD_ACTION_FIRE_NOMAL_6,,,,,,
0007,FAR1,Action,Fire,tier1,Rising,Damage,5,0.4,5 * 0.4 * N,Fire,3,None,0,Yes,3,Enemy,적에게 2~12의 피해를 줍니다. 점화 3. 강화 3,CARD_ACTION_FIRE_RARE_1,,,,,3 디버프,
0008,FAR1+,Action,Fire,tier2,Rising,Damage,5,0.5,5 * 0.5 * N,Fire,4,None,0,No,None,Enemy,적에게 3~15의 피해를 줍니다. 점화 4.,CARD_ACTION_FIRE_RARE_2,,,,,,
0009,FAR2,Action,Fire,tier1,Rising,Damage,5,0.6,5 * 0.6 * N,Fire,2,None,0,Yes,3,Enemy,적에게 3~18의 피해를 줍니다. 점화 2. 강화 3,CARD_ACTION_FIRE_RARE_3,,,,,,
0010,FAR2+,Action,Fire,tier2,Rising,Damage,5,0.8,5 * 0.7 * N,Fire,3,None,0,No,None,Enemy,적에게 4~21의 피해를 줍니다. 점화 3. ,CARD_ACTION_FIRE_RARE_4,,,,,2 공격 / 4 디버프,
0011,FAE1,Action,Fire,tier1,Climax,Damage,5,0.6,5 * 0.6 * N,Fire,4,None,0,Yes,3,Enemy,적에게 3~18의 피해를 줍니다. 점화 4. 강화 3.,CARD_ACTION_FIRE_EPIC_1,,,,,,
0012,FAE1+,Action,Fire,tier2,Climax,Damage,5,0.7,5 * 0.7 * N,Fire,5,None,0,Yes,4,Enemy,적에게 4~21의 피해를 줍니다. 점화 5. 강화 4.,CARD_ACTION_FIRE_EPIC_2,,,,,,
0013,FAE1++,Action,Fire,tier3,Finale,Damage,5,0.8,5 * 0.8 * N,Fire,6,None,0,No,None,Enemy,적에게 4~24의 피해를 줍니다. 점화 6.,CARD_ACTION_FIRE_EPIC_3,,,,,3공격 / 3 디버프,
0014,불 공격 강화 카드,Action,Fire,tier1,Opening,Damage,5,0.3,5 * 0.3 * N,None,0,None,0,Yes,2,Enemy,적에게 2~9의 피해를 줍니다. 강화2.,CARD_ACTION_FIRE_MAIN_1,,,,,,
0015,불 공격 강화 카드+,Action,Fire,tier2,Rising,Damage,5,0.5,5 * 0.5 * N,Fire,2,None,0,Yes,3,Enemy,적에게 3~15의 피해를 줍니다. 점화 2. 강화 3.,CARD_ACTION_FIRE_MAIN_2,,,,,,
0016,불 공격 강화 카드++,Action,Fire,tier3,Climax,Damage,5,0.7,5 * 0.7 * N,Fire,4,None,0,Yes,4,Enemy,적에게 4~21의 피해를 줍니다. 점화 4. 강화 4.,CARD_ACTION_FIRE_MAIN_3,,,,,4 공격 / 5 디버프,
0017,불 공격 강화 카드+++,Action,Fire,tier4,Finale,Damage,5,0.9,5 * 0.9 * N,Fire,6,None,0,No,NoNE,Enemy,적에게 5~27의 피해를 줍니다. 점화 6.,CARD_ACTION_FIRE_MAIN_4,,,,,,
0018,FSN1,Support,Fire,tier1,Opening,Shield,2,0.3,2 * 0.3 * N,None,0,None,0,Yes,2,Self,1~4의 보호막을 얻습니다. 강화2,CARD_SUPPORT_FIRE_NOMAL_1,,,,,,
0019,FSN1+,Support,Fire,tier2,Opening,Shield,2,0.4,2 * 0.4 * N,None,0,None,0,No,None,Self,1~5의 보호막을 얻습니다.,CARD_SUPPORT_FIRE_NOMAL_2,,,,,3단계 보호막,
0020,FSN2,Support,Fire,tier1,Opening,Heal,2,0.1,2 * 0.1 * N,None,0,Fervor,1,Yes,2,Self,0~1의 체력을 회복합니다. 열정 1. 강화 2,CARD_SUPPORT_FIRE_NOMAL_3,,,,,,
0021,FSN2+,Support,Fire,tier2,Opening,Heal,2,0.2,2 * 0.2 * N,None,0,Fervor,2,No,None,Self,0~2의 체력을 회복합니다. 열정 2.,CARD_SUPPORT_FIRE_NOMAL_4,,,,,,
0022,FSR1,Support,Fire,tier1,Rising,Shield,2,0.3,2 * 0.3 * N,None,0,Fervor,1,Yes,3,Self,1~4의 보호막을 얻습니다. 열정 1. 강화 3.,CARD_SUPPORT_FIRE_RARE_1,,,,,"1단계 회복, 2단계 버프",
0023,FSR1+,Support,Fire,tier2,Rising,Shield,2,0.4,2 * 0.4 * N,None,0,Fervor,2,No,None,Self,1~5의 보호막을 얻습니다. 열정 2.,CARD_SUPPORT_FIRE_RARE_2,,,,,,
0024,FSE1,Support,Fire,tier1,Climax,Shield,2,0.4,2 * 0.4 * N,None,0,Fervor,3,Yes,3,Self,1~5의 보호막을 얻습니다. 열정 3. 강화 3.,CARD_SUPPORT_FIRE_EPIC_1,,,,,,
0025,FSE1+,Support,Fire,tier2,Climax,Shield,2,0.5,2 * 0.5 * N,None,0,Fervor,4,Yes,4,Self,1~6의 보호막을 얻습니다. 열정 4. 강화 4.,CARD_SUPPORT_FIRE_EPIC_2,,,,,"3 보호막, 2버프",
0026,FSE1++,Support,Fire,tier3,Finale,Shield,2,0.6,2 * 0.6 * N,None,0,Fervor,5,No,None,Self,1~7의 보호막을 얻습니다. 열정 5.,CARD_SUPPORT_FIRE_EPIC_3,,,,,,
0027,불 방어 강화 카드,Support,Fire,tier1,Opening,Shield,2,0.2,2 * 0.2 * N,None,0,Fervor,2,Yes,2,Self,0~2의 보호막을 얻습니다. 열정 2. 강화 2.,CARD_SUPPORT_FIRE_MAIN_1,,,,,,
0028,불 방어 강화 카드+,Support,Fire,tier2,Rising,Shield,2,0.35,2 * 0.35 * N,None,0,Fervor,3,Yes,3,Self,1~4의 보호막을 얻습니다. 열정 3. 강화 3.,CARD_SUPPORT_FIRE_MAIN_2,,,,,"4 보호막, 4 버프",
0029,불 방어 강화 카드++,Support,Fire,tier3,Climax,Shield,2,0.5,2 * 0.5 * N,None,0,Fervor,4,Yes,4,Self,1~6의 보호막을 얻습니다. 열정 4. 강화 4.,CARD_SUPPORT_FIRE_MAIN_3,,,,,,
0030,불 방어 강화 카드+++,Support,Fire,tier4,Finale,Shield,2,0.65,2 * 0.65* N,None,0,Fervor,5,No,None,Self,1~8의 보호막을 얻습니다. 열정 5.,CARD_SUPPORT_FIRE_MAIN_4,,,,,,
0031,WAN1,Action,Water,tier1,Opening,Damage,3,0.4,3 * 0.4 * N,Water,0,None,0,Yes,2,Enemy,적에게 1~7의 피해를 줍니다. 강화 2,CARD_ACTION_WATER_NOMAL_1,,,,,2공 1디벞,
0032,WAN1+,Action,Water,tier2,Opening,Damage,3,0.5,3 * 0.5 * N,Water,1,None,0,No,None,Enemy,적에게 2~9의 피해를 줍니다. 젖음 1.,CARD_ACTION_WATER_NOMAL_2,,,,,,
0033,WAN2,Action,Water,tier1,Opening,Damage,3,0.2,3 * 0.2 * N,Water,1,None,0,Yes,2,Enemy,적에게 1~4의 피해를 줍니다. 젖음 1. 강화 2.,CARD_ACTION_WATER_NOMAL_3,,,,,,
