MC_Id,MC_Name,MC_Type,Element,Effect_Type,MC_Tier,E_Coeffici,C_Coeffici,Debuff_Type,Debuff_Stack,Buff_Type,Buff_Stack,Target,
1001,단검 찌르기,Action,Fire,Damage,Tier1,5,0.4,None,0,None,0,Player,적에게 2~12의 피해를 줍니다. 강화 2
1002,단검 던지기,Action,Fire,Damage,Tier2,5,0.5,None,0,None,0,Player,적에게 3~15의 피해를 줍니다.
1003,불뿜기,Action,Fire,Damage,Tier1,5,0.2,Fire,1,None,0,Player,적에게 1~6의 피해를 줍니다. 점화 1. 강화 2
1004,불화살,Action,Fire,Damage,Tier2,5,0.3,Fire,2,None,0,Player,적에게 2~9의 피해를 줍니다. 점화 2.
1005,불씨 흩뿌리기,Action,Fire,Damage,Tier1,5,0.1,Fire,2,None,0,Player,적에게 1~3의 피해를 줍니다. 점화 2. 강화 2
1006,MFAN3+,Action,Fire,Damage,Tier2,5,0.2,Fire,3,None,0,Player,적에게 1~6의 피해를 줍니다. 점화 3.
1007,격분,Action,Fire,Damage,Tier2,5,0.4,Fire,3,None,0,Player,적에게 2~12의 피해를 줍니다. 점화 3. 강화 3
1008,MFAR1+,Action,Fire,Damage,Tier3,5,0.5,Fire,4,None,0,Player,적에게 3~15의 피해를 줍니다. 점화 4.
1009,MFAR2,Action,Fire,Damage,Tier2,5,0.6,Fire,2,None,0,Player,적에게 3~18의 피해를 줍니다. 점화 2. 강화 3
1010,화염 강타,Action,Fire,Damage,Tier3,5,0.8,Fire,3,None,0,Player,적에게 4~21의 피해를 줍니다. 점화 3. 
1011,불기둥,Action,Fire,Damage,Tier3,5,0.6,Fire,4,None,0,Player,적에게 3~18의 피해를 줍니다. 점화 4. 강화 3.
1012,불길 확산,Action,Fire,Damage,Tier4,5,0.7,Fire,5,None,0,Player,적에게 4~21의 피해를 줍니다. 점화 5. 강화 4.
1013,MFAE1++,Action,Fire,Damage,Tier4,5,0.8,Fire,6,None,0,Player,적에게 4~24의 피해를 줍니다. 점화 6.
1014,MFAB,Action,Fire,Damage,,5,0.3,None,0,None,0,Player,적에게 2~9의 피해를 줍니다. 강화2.
1015,MFAB+,Action,Fire,Damage,,5,0.5,Fire,2,None,0,Player,적에게 3~15의 피해를 줍니다. 점화 2. 강화 3.
1016,MFAB++,Action,Fire,Damage,,5,0.7,Fire,4,None,0,Player,적에게 4~21의 피해를 줍니다. 점화 4. 강화 4.
1017,무자비한 일격,Action,Fire,Damage,Tier5,5,0.9,Fire,6,None,0,Player,적에게 5~27의 피해를 줍니다. 점화 6.
1018,MFSN1,Support,Fire,Shield,Tier1,2,0.3,None,0,None,0,Self,1~4의 보호막을 얻습니다. 강화2
1019,MFSN1+,Support,Fire,Shield,Tier2,2,0.4,None,0,None,0,Self,1~5의 보호막을 얻습니다.
1020,과열,Support,Fire,Heal,Tier1,2,0.1,None,0,Fervor,1,Self,0~1의 체력을 회복합니다. 열정 1. 강화 2
